	tool	coverage	coverage_threshold	strand_bias_threshold	gaps_threshold	step_GT	error_rate	nb_of_correct_calls	nb_of_total_calls	recall	nb_of_truth_probes_found	nb_of_truth_probes_in_total
71	pandora_illumina_no_denovo	30x	0	0.0	1.0	71	0.16666666666666666	5.0	6.0	0.5733275445594753	393524.0	686386.0
72	pandora_illumina_no_denovo	30x	0	0.0	1.0	72	0.16666666666666666	5.0	6.0	0.5733275445594753	393524.0	686386.0
73	pandora_illumina_no_denovo	30x	0	0.0	1.0	73	0.16666666666666666	5.0	6.0	0.5733275445594753	393524.0	686386.0
74	pandora_illumina_no_denovo	30x	0	0.0	1.0	74	0.16666666666666666	5.0	6.0	0.5733275445594753	393524.0	686386.0
75	pandora_illumina_no_denovo	30x	0	0.0	1.0	75	0.16666666666666666	5.0	6.0	0.573326087653303	393523.0	686386.0
76	pandora_illumina_no_denovo	30x	0	0.0	1.0	76	0.16666666666666666	5.0	6.0	0.573326087653303	393523.0	686386.0
77	pandora_illumina_no_denovo	30x	0	0.0	1.0	77	0.16666666666666666	5.0	6.0	0.573326087653303	393523.0	686386.0
78	pandora_illumina_no_denovo	30x	0	0.0	1.0	78	0.16666666666666666	5.0	6.0	0.573326087653303	393523.0	686386.0
79	pandora_illumina_no_denovo	30x	0	0.0	1.0	79	0.16666666666666666	5.0	6.0	0.573326087653303	393523.0	686386.0
80	pandora_illumina_no_denovo	30x	0	0.0	1.0	80	0.25	3.0	4.0	0.573326087653303	393523.0	686386.0
81	pandora_illumina_no_denovo	30x	0	0.0	1.0	81	0.25	3.0	4.0	0.573326087653303	393523.0	686386.0
82	pandora_illumina_no_denovo	30x	0	0.0	1.0	82	0.33333333333333337	2.0	3.0	0.573326087653303	393523.0	686386.0
83	pandora_illumina_no_denovo	30x	0	0.0	1.0	83	0.33333333333333337	2.0	3.0	0.573326087653303	393523.0	686386.0
84	pandora_illumina_no_denovo	30x	0	0.0	1.0	84	0.5	1.0	2.0	0.573326087653303	393523.0	686386.0
85	pandora_illumina_no_denovo	30x	0	0.0	1.0	85	0.5	1.0	2.0	0.573326087653303	393523.0	686386.0
86	pandora_illumina_no_denovo	30x	0	0.0	1.0	86	0.5	1.0	2.0	0.573326087653303	393523.0	686386.0
87	pandora_illumina_no_denovo	30x	0	0.0	1.0	87	0.5	1.0	2.0	0.573326087653303	393523.0	686386.0
88	pandora_illumina_no_denovo	30x	0	0.0	1.0	88	0.5	1.0	2.0	0.573326087653303	393523.0	686386.0
89	pandora_illumina_no_denovo	30x	0	0.0	1.0	89	0.5	1.0	2.0	0.573326087653303	393523.0	686386.0
90	pandora_illumina_no_denovo	30x	0	0.0	1.0	90	1.0	0.0	1.0	0.573326087653303	393523.0	686386.0
91	pandora_illumina_no_denovo	30x	0	0.0	1.0	91	1.0	0.0	1.0	0.573326087653303	393523.0	686386.0
92	pandora_illumina_no_denovo	30x	0	0.0	1.0	92	1.0	0.0	1.0	0.573326087653303	393523.0	686386.0
93	pandora_illumina_no_denovo	30x	0	0.0	1.0	93	1.0	0.0	1.0	0.573326087653303	393523.0	686386.0
94	pandora_illumina_no_denovo	30x	0	0.0	1.0	94	1.0	0.0	1.0	0.573326087653303	393523.0	686386.0
95	pandora_illumina_no_denovo	30x	0	0.0	1.0	95	1.0	0.0	1.0	0.573326087653303	393523.0	686386.0
96	pandora_illumina_no_denovo	30x	0	0.0	1.0	96	1.0	0.0	1.0	0.573326087653303	393523.0	686386.0
97	pandora_illumina_no_denovo	30x	0	0.0	1.0	97	1.0	0.0	1.0	0.573326087653303	393523.0	686386.0
98	pandora_illumina_no_denovo	30x	0	0.0	1.0	98	1.0	0.0	1.0	0.573326087653303	393523.0	686386.0
99	pandora_illumina_no_denovo	30x	0	0.0	1.0	99	1.0	0.0	1.0	0.573326087653303	393523.0	686386.0
100	pandora_illumina_with_denovo	30x	0	0.0	1.0	0	0.007446974252801275	784773.9604433315	790662.0	0.9028214444933318	619684.0	686386.0
101	pandora_illumina_with_denovo	30x	0	0.0	1.0	1	0.0065652721219604535	770688.7800626813	775782.0	0.8317229663775193	570883.0	686386.0
102	pandora_illumina_with_denovo	30x	0	0.0	1.0	2	0.005944986362499405	744202.2681247556	748653.0	0.7855783771813528	539210.0	686386.0
103	pandora_illumina_with_denovo	30x	0	0.0	1.0	3	0.005646247437107732	705451.2302320119	709457.0	0.7460743663186603	512095.0	686386.0
104	pandora_illumina_with_denovo	30x	0	0.0	1.0	4	0.005482251723691212	652133.1340417274	655728.0	0.7130040531129714	489396.0	686386.0
105	pandora_illumina_with_denovo	30x	0	0.0	1.0	5	0.005410744281338364	589268.2746926583	592474.0	0.6845739860661494	469882.0	686386.0
106	pandora_illumina_with_denovo	30x	0	0.0	1.0	6	0.005415337505257467	520757.56718960975	523593.0	0.6608570104868107	453603.0	686386.0
107	pandora_illumina_with_denovo	30x	0	0.0	1.0	7	0.005530572964330238	452984.8018924557	455504.0	0.6416025385133146	440387.0	686386.0
108	pandora_illumina_with_denovo	30x	0	0.0	1.0	8	0.005684726061822465	386495.3185561393	388705.0	0.6242231047836058	428458.0	686386.0
109	pandora_illumina_with_denovo	30x	0	0.0	1.0	9	0.005846347898325388	324162.6871871409	326069.0	0.6123391211359206	420301.0	686386.0
110	pandora_illumina_with_denovo	30x	0	0.0	1.0	10	0.006197496145042058	260347.4357373872	261971.0	0.6020431652160737	413234.0	686386.0
111	pandora_illumina_with_denovo	30x	0	0.0	1.0	11	0.006696468550182465	208232.17911901395	209636.0	0.5950121360284155	408408.0	686386.0
112	pandora_illumina_with_denovo	30x	0	0.0	1.0	12	0.007343816892272925	165577.0366547351	166802.0	0.5890111395045936	404289.0	686386.0
113	pandora_illumina_with_denovo	30x	0	0.0	1.0	13	0.008264124670570028	125875.08424031256	126924.0	0.5843548673778312	401093.0	686386.0
114	pandora_illumina_with_denovo	30x	0	0.0	1.0	14	0.010097400784992659	82490.563397785	83332.0	0.5796607156905881	397871.0	686386.0
115	pandora_illumina_with_denovo	30x	0	0.0	1.0	15	0.012499227221948295	56479.119198267894	57194.0	0.5770557674544644	396083.0	686386.0
116	pandora_illumina_with_denovo	30x	0	0.0	1.0	16	0.01885774591012724	31348.476160425518	31951.0	0.5754852226006941	395005.0	686386.0
117	pandora_illumina_with_denovo	30x	0	0.0	1.0	17	0.02606376332608673	19685.19921565313	20212.0	0.5741754639517705	394106.0	686386.0
118	pandora_illumina_with_denovo	30x	0	0.0	1.0	18	0.039892174126480384	10845.378001067278	11296.0	0.5736072705445624	393716.0	686386.0
119	pandora_illumina_with_denovo	30x	0	0.0	1.0	19	0.05686332246551229	6203.009928144325	6577.0	0.5732197335027229	393450.0	686386.0
120	pandora_illumina_with_denovo	30x	0	0.0	1.0	20	0.07195403859575655	4173.422688434883	4497.0	0.5730594738237668	393340.0	686386.0
121	pandora_illumina_with_denovo	30x	0	0.0	1.0	21	0.0809922618003206	2988.613164625357	3252.0	0.572989542327495	393292.0	686386.0
122	pandora_illumina_with_denovo	30x	0	0.0	1.0	22	0.08557002249480339	2240.3534448877317	2450.0	0.5729604042040485	393272.0	686386.0
123	pandora_illumina_with_denovo	30x	0	0.0	1.0	23	0.0919267892104757	1791.6284448877313	1973.0	0.5729225246435679	393246.0	686386.0
124	pandora_illumina_with_denovo	30x	0	0.0	1.0	24	0.09785074405301786	1410.96143630108	1564.0	0.5728948434262937	393227.0	686386.0
125	pandora_illumina_with_denovo	30x	0	0.0	1.0	25	0.0995109603989074	1146.322547412191	1273.0	0.5728759036460533	393214.0	686386.0
126	pandora_illumina_with_denovo	30x	0	0.0	1.0	26	0.1128010279611602	911.1533442838884	1027.0	0.5728657053028471	393207.0	686386.0
127	pandora_illumina_with_denovo	30x	0	0.0	1.0	27	0.11863629432425238	763.2609691151974	866.0	0.5728482224287792	393195.0	686386.0
128	pandora_illumina_with_denovo	30x	0	0.0	1.0	28	0.11888949354407465	648.4973327515611	736.0	0.5728409378979175	393190.0	686386.0
129	pandora_illumina_with_denovo	30x	0	0.0	1.0	29	0.12700106589207472	546.4973327515612	626.0	0.5728380240855728	393188.0	686386.0
130	pandora_illumina_with_denovo	30x	0	0.0	1.0	30	0.12671881573527274	465.4588712130996	533.0	0.5728380240855728	393188.0	686386.0
131	pandora_illumina_with_denovo	30x	0	0.0	1.0	31	0.11514221244494705	411.4588712130996	465.0	0.5728365671794005	393187.0	686386.0
132	pandora_illumina_with_denovo	30x	0	0.0	1.0	32	0.11273622991356558	369.1017283559567	416.0	0.5728365671794005	393187.0	686386.0
133	pandora_illumina_with_denovo	30x	0	0.0	1.0	33	0.10864147893845387	332.4767283559567	373.0	0.5728336533670558	393185.0	686386.0
134	pandora_illumina_with_denovo	30x	0	0.0	1.0	34	0.08722713040991836	298.4767283559567	327.0	0.5728336533670558	393185.0	686386.0
135	pandora_illumina_with_denovo	30x	0	0.0	1.0	35	0.0677514708413085	277.8100616892901	298.0	0.5728336533670558	393185.0	686386.0
136	pandora_illumina_with_denovo	30x	0	0.0	1.0	36	0.05220284035743383	253.0618416245652	267.0	0.5728278257423666	393181.0	686386.0
137	pandora_illumina_with_denovo	30x	0	0.0	1.0	37	0.05353020535219055	227.15275071547427	240.0	0.5728205412115049	393176.0	686386.0
138	pandora_illumina_with_denovo	30x	0	0.0	1.0	38	0.043765552375669925	215.15275071547427	225.0	0.5728132566806432	393171.0	686386.0
139	pandora_illumina_with_denovo	30x	0	0.0	1.0	39	0.040729351696393024	195.69121225393584	204.0	0.5728103428682986	393169.0	686386.0
140	pandora_illumina_with_denovo	30x	0	0.0	1.0	40	0.03908442644954113	179.69121225393582	187.0	0.5728103428682986	393169.0	686386.0
141	pandora_illumina_with_denovo	30x	0	0.0	1.0	41	0.04224732801193165	165.69121225393582	173.0	0.5728088859621263	393168.0	686386.0
142	pandora_illumina_with_denovo	30x	0	0.0	1.0	42	0.03629763158946131	156.11978368250726	162.0	0.5728088859621263	393168.0	686386.0
143	pandora_illumina_with_denovo	30x	0	0.0	1.0	43	0.03920144211661825	144.11978368250726	150.0	0.5728088859621263	393168.0	686386.0
144	pandora_illumina_with_denovo	30x	0	0.0	1.0	44	0.03962059274399588	134.45311701584058	140.0	0.5728059721497816	393166.0	686386.0
145	pandora_illumina_with_denovo	30x	0	0.0	1.0	45	0.04287365701074386	123.46929824561407	129.0	0.5728059721497816	393166.0	686386.0
146	pandora_illumina_with_denovo	30x	0	0.0	1.0	46	0.044965054913707066	117.46929824561407	123.0	0.5728059721497816	393166.0	686386.0
147	pandora_illumina_with_denovo	30x	0	0.0	1.0	47	0.046870353850728574	112.46929824561407	118.0	0.5728059721497816	393166.0	686386.0
148	pandora_illumina_with_denovo	30x	0	0.0	1.0	48	0.04045269423558906	107.46929824561407	112.0	0.5728059721497816	393166.0	686386.0
149	pandora_illumina_with_denovo	30x	0	0.0	1.0	49	0.0431495405179616	100.46929824561407	105.0	0.5728059721497816	393166.0	686386.0
150	pandora_illumina_with_denovo	30x	0	0.0	1.0	50	0.0457646641857169	94.46929824561407	99.0	0.5728059721497816	393166.0	686386.0
151	pandora_illumina_with_denovo	30x	0	0.0	1.0	51	0.04871722316544058	88.46929824561403	93.0	0.5728059721497816	393166.0	686386.0
